Time(sec),VGRF_left_s1,VGRF_left_s2,VGRF_left_s3,VGRF_left_s4,VGRF_left_s5,VGRF_left_s6,VGRF_left_s7,VGRF_left_s8,VGRF_right_s1,VGRF_right_s2,VGRF_right_s3,VGRF_right_s4,VGRF_right_s5,VGRF_right_s6,VGRF_right_s7,VGRF_right_s8,Total_force_left,Total_force_right
0.0100,154.77,116.16,46.75,69.08,14.3,76.34,57.97,88.99,87.89,67.21,82.06,67.32,30.58,66.33,47.85,53.79,624.36,503.03
0.0200,157.74,119.35,48.51,66,12.65,73.37,54.67,78.32,91.19,67.21,82.06,70.18,28.16,66.33,47.85,53.79,610.61,506.77
0.0300,160.71,120.89,48.51,62.81,12.65,70.4,51.48,73.04,91.19,68.97,84.59,70.18,28.16,66.33,47.85,51.92,600.49,509.19
0.0400,166.65,124.08,48.51,59.62,12.65,67.43,48.29,73.04,91.19,68.97,82.06,73.15,28.16,68.64,47.85,51.92,600.27,511.94
0.0500,169.62,125.62,48.51,58.08,11.11,64.57,44.99,62.48,94.49,70.84,82.06,73.15,28.16,68.64,47.85,51.92,584.98,517.11
0.0600,172.37,127.16,50.27,55.22,11.11,61.6,44.99,62.48,94.49,70.84,82.06,76.01,28.16,68.64,47.85,49.94,585.2,517.99
0.0700,175.23,130.35,50.27,52.58,11.11,58.63,41.8,57.2,94.49,70.84,84.59,76.01,28.16,70.84,47.85,49.94,577.17,522.72
0.0800,178.09,130.35,50.27,51.26,11.11,55.77,38.61,52.8,94.49,70.84,84.59,78.98,28.16,70.84,47.85,49.94,568.26,525.69
0.0900,180.84,131.89,52.14,48.62,11.11,52.58,38.61,52.8,94.49,72.6,84.59,78.98,28.16,70.84,47.85,49.94,568.59,527.45
0.1000,183.7,133.54,52.14,47.3,9.46,52.58,35.42,48.4,94.49,70.84,84.59,81.84,28.16,73.15,47.85,49.94,562.54,530.86
0.1100,186.56,135.08,52.14,47.3,9.46,52.58,35.42,48.4,91.19,70.84,82.06,84.81,28.16,75.46,47.85,51.92,566.94,532.29
0.1200,189.42,136.62,52.14,45.98,9.46,49.5,35.42,44,87.89,68.97,82.06,84.81,30.58,75.46,47.85,51.92,562.54,529.54
0.1300,192.17,136.62,52.14,44.66,9.46,49.5,35.42,48.4,84.48,65.45,79.64,87.67,30.58,77.66,50.38,51.92,568.37,527.78
0.1400,192.17,136.62,52.14,44.66,9.46,49.5,35.42,44,77.88,63.69,77.22,90.53,30.58,79.97,50.38,53.79,563.97,524.04
0.1500,192.17,136.62,53.9,43.34,11.11,46.42,38.61,48.4,67.87,60.06,72.27,90.53,30.58,79.97,50.38,53.79,570.57,505.45
0.1600,195.03,138.27,53.9,43.34,11.11,49.5,38.61,48.4,61.27,56.54,69.85,93.5,30.58,82.17,50.38,53.79,578.16,498.08
0.1700,195.03,139.81,53.9,43.34,11.11,46.42,38.61,48.4,53.24,51.59,64.9,96.36,30.58,82.17,52.91,55.77,576.62,487.52
0.1800,197.89,141.35,53.9,43.34,11.11,46.42,38.61,48.4,46.31,46.75,59.95,96.36,28.16,84.48,52.91,55.77,581.02,470.69
0.1900,200.64,144.54,55.77,43.34,11.11,46.42,38.61,48.4,37.07,40.37,55.11,99.33,28.16,86.68,52.91,57.97,588.83,457.6
0.2000,203.5,146.08,55.77,43.34,11.11,46.42,41.8,48.4,32.45,35.53,46.75,99.33,28.16,86.68,55.44,57.97,596.42,442.31
0.2100,209.22,149.27,57.42,43.34,12.65,46.42,41.8,48.4,27.72,30.69,41.25,96.36,25.85,88.99,55.44,57.97,608.52,424.27
0.2200,211.97,152.35,57.42,43.34,12.65,49.5,41.8,48.4,23.1,25.74,35.75,93.5,23.54,88.99,55.44,57.97,617.43,404.03
0.2300,214.83,157.08,59.18,44.66,12.65,49.5,41.8,48.4,18.48,22.55,30.25,87.67,21.12,88.99,55.44,57.97,628.1,382.47
0.2400,220.55,158.73,59.18,44.66,12.65,49.5,44.99,52.8,16.17,19.36,24.75,78.98,18.81,88.99,55.44,57.97,643.06,360.47
0.2500,223.41,163.46,60.94,44.66,12.65,49.5,44.99,52.8,13.86,17.71,22,67.32,16.39,84.48,52.91,57.97,652.41,332.64
0.2600,226.27,166.54,62.7,45.98,14.3,52.58,48.29,52.8,13.86,16.06,19.25,53.9,14.08,79.97,52.91,55.77,669.46,305.8
0.2700,232.1,171.49,62.7,47.3,14.3,52.58,51.48,57.2,13.86,14.52,16.5,44.55,11.77,73.15,47.85,55.77,689.15,277.97
0.2800,234.96,174.9,64.46,48.62,15.84,52.58,54.67,62.48,13.86,14.52,16.5,35.09,9.35,66.33,45.32,53.79,708.51,254.76
0.2900,237.93,178.31,64.46,48.62,15.84,55.77,54.67,62.48,11.55,12.87,16.5,25.74,7.04,55.11,42.79,51.92,718.08,223.52
0.3000,240.79,183.37,66.22,51.26,17.38,58.63,57.97,67.76,11.55,12.87,13.75,21.01,4.62,43.56,37.73,48.07,743.38,193.16
0.3100,246.62,186.67,66.22,52.58,17.38,58.63,61.6,67.76,11.55,12.87,13.75,18.7,4.62,34.43,32.67,44.22,757.46,172.81
0.3200,249.48,190.08,67.98,53.9,19.03,61.6,65.34,73.04,11.55,11.22,13.75,13.97,4.62,25.19,27.72,38.39,780.45,146.41
0.3300,249.48,193.49,67.98,55.22,19.03,64.57,65.34,78.32,11.55,11.22,13.75,13.97,0,18.37,22.66,34.54,793.43,126.06
0.3400,252.45,195.14,67.98,56.54,19.03,67.43,69.08,78.32,9.24,9.68,13.75,11.66,0,16.06,15.07,28.82,805.97,104.28
0.3500,249.48,196.9,67.98,58.08,19.03,70.4,69.08,78.32,9.24,9.68,13.75,9.35,0,13.75,10.01,17.27,809.27,83.05
0.3600,249.48,196.9,67.98,61.27,20.57,73.37,72.82,83.71,9.24,9.68,13.75,11.66,0,11.44,7.48,11.44,826.1,74.69
0.3700,249.48,196.9,67.98,62.81,20.57,76.34,72.82,83.71,9.24,8.03,11,11.66,0,11.44,7.48,9.57,830.61,68.42
0.3800,243.65,195.14,66.22,66,20.57,79.2,76.56,88.99,9.24,9.68,11,9.35,0,11.44,7.48,9.57,836.33,67.76
0.3900,243.65,193.49,66.22,67.54,22.22,82.17,80.3,94.27,9.24,8.03,13.75,9.35,0,11.44,7.48,7.59,849.86,66.88
0.4000,237.93,190.08,66.22,70.73,22.22,85.14,84.04,94.27,9.24,8.03,11,9.35,0,11.44,7.48,7.59,850.63,64.13
0.4100,234.96,186.67,64.46,72.27,23.76,88.11,87.78,99.55,9.24,8.03,11,9.35,0,11.44,4.95,7.59,857.56,61.6
0.4200,229.24,183.37,62.7,73.81,23.76,90.97,87.78,104.83,9.24,8.03,11,9.35,0,11.44,4.95,7.59,856.46,61.6
0.4300,226.27,179.96,62.7,77,23.76,93.94,91.52,104.83,9.24,8.03,11,9.35,0,11.44,4.95,7.59,859.98,61.6
0.4400,220.55,176.55,60.94,78.54,25.41,96.91,95.26,110.22,9.24,8.03,11,9.35,0,11.44,4.95,5.72,864.38,59.73
0.4500,214.83,171.49,59.18,81.73,25.41,99.88,99,114.95,9.24,8.03,11,9.35,0,11.44,4.95,5.72,866.47,59.73
0.4600,206.36,165,57.42,86.46,26.95,105.71,106.48,119.79,9.24,8.03,11,6.93,0,11.44,4.95,5.72,874.17,57.31
0.4700,197.89,158.73,57.42,89.65,28.6,111.65,113.74,124.63,9.24,6.38,11,6.93,0,9.13,0,5.72,882.31,48.4
0.4800,189.42,152.35,55.77,94.38,30.14,114.51,120.78,129.47,6.93,6.38,11,6.93,0,9.13,0,5.72,886.82,46.09
0.4900,180.84,146.08,53.9,99.11,31.68,120.23,127.82,134.31,6.93,8.03,11,6.93,0,6.82,0,3.74,893.97,43.45
0.5000,175.23,139.81,52.14,102.3,33.33,125.95,134.97,139.15,6.93,6.38,11,6.93,0,6.82,0,3.74,902.88,41.8
0.5100,166.65,135.08,50.27,107.03,34.87,131.67,142.01,148.83,6.93,6.38,11,6.93,0,6.82,0,0,916.41,38.06
0.5200,160.71,128.81,48.51,111.87,36.52,134.53,149.05,153.67,6.93,6.38,11,6.93,0,4.51,0,0,923.67,35.75
0.5300,151.8,122.43,44.88,115.17,38.06,140.25,156.2,158.51,6.93,6.38,11,6.93,0,4.51,0,0,927.3,35.75
0.5400,142.89,114.62,43.12,120.23,39.71,143.11,163.24,163.35,6.93,6.38,8.25,4.62,0,4.51,0,0,930.27,30.69
0.5500,133.98,108.35,39.49,123.53,39.71,148.83,170.39,168.19,6.93,6.38,8.25,4.62,0,4.51,0,0,932.47,30.69
0.5600,128.04,102.08,35.97,126.83,41.25,151.69,174.02,173.47,6.93,6.38,11,4.62,0,0,0,0,933.35,28.93
0.5700,116.16,94.16,34.1,131.89,41.25,157.41,181.5,178.86,6.93,6.38,8.25,4.62,0,0,0,0,935.33,26.18
0.5800,100.54,83.16,30.58,135.19,42.9,160.27,185.24,184.25,6.93,4.84,8.25,4.62,0,0,0,0,922.13,24.64
0.5900,90.97,75.35,28.71,138.6,42.9,166.1,188.98,189.64,4.62,6.38,8.25,4.62,0,0,0,0,921.25,23.87
0.6000,78.1,67.43,25.08,141.9,42.9,171.82,196.46,195.03,6.93,4.84,8.25,4.62,0,0,0,0,918.72,24.64
0.6100,65.34,58.08,23.32,143.55,42.9,174.68,200.2,195.03,4.62,4.84,8.25,0,0,0,0,0,903.1,17.71
0.6200,55.77,50.82,19.69,145.2,41.25,180.4,200.2,200.42,4.62,6.38,8.25,4.62,0,0,0,0,893.75,23.87
0.6300,48.07,43.78,17.93,146.96,39.71,183.26,207.68,205.81,4.62,4.84,8.25,0,0,0,0,0,893.2,17.71
0.6400,43.01,38.06,16.17,145.2,38.06,186.12,207.68,211.2,4.62,4.84,8.25,0,0,0,0,0,885.5,17.71
0.6500,40.48,33.88,14.3,145.2,36.52,191.84,211.42,211.2,4.62,4.84,8.25,0,0,0,0,0,884.84,17.71
0.6600,35.42,31.02,12.54,141.9,33.33,197.56,215.16,216.59,4.62,4.84,8.25,0,0,0,0,0,883.52,17.71
0.6700,32.89,28.16,10.78,138.6,31.68,200.42,215.16,221.98,4.62,4.84,8.25,0,0,0,0,0,879.67,17.71
0.6800,30.36,23.98,8.91,133.54,28.6,203.28,215.16,221.98,4.62,4.84,8.25,4.62,0,0,0,0,865.81,22.33
0.6900,27.83,21.12,7.15,126.83,26.95,206.14,215.16,226.71,4.62,4.84,8.25,0,0,0,0,0,857.89,17.71
0.7000,27.83,19.69,7.15,116.82,23.76,209,215.16,231.44,4.62,4.84,8.25,0,0,0,0,0,850.85,17.71
0.7100,25.3,19.69,5.39,105.38,22.22,211.86,211.42,231.44,4.62,4.84,8.25,0,0,0,0,0,832.7,17.71
0.7199,25.3,18.37,5.39,89.65,19.03,214.72,211.42,231.44,4.62,4.84,8.25,0,0,0,0,0,815.32,17.71
0.7299,25.3,16.94,5.39,73.81,15.84,214.72,207.68,236.28,6.93,6.38,8.25,0,0,0,0,0,795.96,21.56
0.7399,22.77,16.94,5.39,61.27,14.3,211.86,207.68,236.28,9.24,6.38,8.25,0,0,0,0,0,776.49,23.87
0.7499,22.77,15.51,5.39,49.94,11.11,206.14,207.68,241.01,13.86,6.38,8.25,0,0,0,0,0,759.55,28.49
0.7599,22.77,15.51,3.52,39.38,9.46,200.42,203.94,245.85,23.1,8.03,8.25,4.62,0,4.51,0,0,740.85,48.51
0.7699,22.77,15.51,3.52,32.78,7.92,191.84,200.2,245.85,41.69,11.22,11,4.62,0,0,0,0,720.39,68.53
0.7799,20.24,14.08,3.52,27.61,7.92,177.54,196.46,250.58,117.48,27.39,22,0,0,4.51,0,0,697.95,171.38
0.7899,20.24,14.08,3.52,23.65,6.27,160.27,185.24,250.58,162.14,45.21,38.5,0,0,6.82,0,0,663.85,252.67
0.7999,20.24,12.65,3.52,19.69,4.73,143.11,177.76,250.58,177.21,63.69,49.5,4.62,0,6.82,0,0,632.28,301.84
0.8099,17.71,11.22,3.52,17.05,3.08,128.81,170.39,245.85,195.25,88.77,62.48,4.62,0,9.13,0,0,597.63,360.25
0.8199,17.71,11.22,3.52,13.09,3.08,114.51,163.24,245.85,201.3,103.07,69.85,6.93,4.62,11.44,0,0,572.22,397.21
0.8299,15.18,9.79,3.52,10.45,3.08,102.74,156.2,236.28,204.38,115.61,77.22,9.35,4.62,13.75,0,0,537.24,424.93
